Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 06/16  06:00:00,642.2326907128851,0.0,642.2326907128851,2312037.6865663864,0.0,0.0,0.0,69806.62318693068,2226351.267791645
 06/16  07:00:00,1004.9693641925955,0.0,1004.9693641925955,3617889.711093344,0.0,0.0,0.0,310094.33018129447,3292998.298659771
 06/16  08:00:00,1412.7462529817192,0.0,1412.7462529817192,5085886.510734189,0.0,0.0,0.0,307262.4184901411,4765631.532217658
 06/16  09:00:00,1341.9933404531191,0.0,1341.9933404531191,4831176.025631228,0.0,0.0,0.0,69806.62318693068,4750542.269088972
 06/16  10:00:00,5004.194646752713,0.0,5004.194646752713,18015100.728309765,0.0,0.0,0.0,69806.62318693068,17936632.398438573
 06/16  11:00:00,8091.327235567931,0.0,8091.327235567931,29128778.048044547,0.0,0.0,0.0,69806.62318693068,29053196.95373478
 06/16  12:00:00,652.5721478630953,0.0,652.5721478630953,2349259.732307143,0.0,0.0,0.0,69806.62318693068,2275122.255778082
 06/16  13:00:00,652.4718966283237,0.0,652.4718966283237,2348898.8278619656,0.0,0.0,0.0,69806.62318693068,2275122.255778082
 06/16  14:00:00,652.4718966283237,0.0,652.4718966283237,2348898.8278619656,0.0,0.0,0.0,69806.62318693068,2275122.255778082
 06/16  15:00:00,759.5575586317656,0.0,759.5575586317656,2734407.211074356,0.0,0.0,0.0,266199.6989684172,2463876.6587638087
 06/16  16:00:00,784.5046285018266,0.0,784.5046285018266,2824216.6626065755,0.0,0.0,0.0,267615.6548139939,2549743.823334209
 06/16  17:00:00,894.4343544929285,0.0,894.4343544929285,3219963.676174543,0.0,0.0,0.0,322483.9438300905,2883765.363427707
 06/16  18:00:00,846.2816212892767,0.0,846.2816212892767,3046613.836641396,0.0,0.0,0.0,288854.99249764415,2740435.430775231
 06/16  19:00:00,908.7763979826674,0.0,908.7763979826674,3271595.032737603,0.0,0.0,0.0,458061.71604405827,2791879.0499828937
 06/16  20:00:00,947.689015907456,0.0,947.689015907456,3411680.457266842,0.0,0.0,0.0,654171.6006564294,2727553.7876606784
 06/16  21:00:00,844.085740207815,0.0,844.085740207815,3038708.664748134,0.0,0.0,0.0,501248.3693341472,2502091.659786591
 06/16  22:00:00,779.7608157699,0.0,779.7608157699,2807138.93677164,0.0,0.0,0.0,416291.018599546,2360171.0403320054
 06/16  23:00:00,683.6325530826321,0.0,683.6325530826321,2461077.1910974756,0.0,0.0,0.0,210977.4209909264,2228806.407841076
 06/16  24:00:00,648.0014212278315,0.0,648.0014212278315,2332805.1164201936,0.0,0.0,0.0,122338.58505782577,2193864.9268842023
 06/17  01:00:00,651.2081490159076,0.0,651.2081490159076,2344349.3364572674,0.0,0.0,0.0,87364.47567208161,2240383.2563070203
 06/17  02:00:00,633.3808938614415,0.0,633.3808938614415,2280171.217901189,0.0,0.0,0.0,69806.62318693068,2194123.8946812707
 06/17  03:00:00,638.9460677819319,0.0,638.9460677819319,2300205.8440149548,0.0,0.0,0.0,69806.62318693068,2214158.520795036
 06/17  04:00:00,635.6594448509786,0.0,635.6594448509786,2288374.001463523,0.0,0.0,0.0,69806.62318693068,2201965.7737984266
 06/17  05:00:00,635.559193616207,0.0,635.559193616207,2288013.0970183453,0.0,0.0,0.0,69806.62318693068,2201965.7737984266
 06/17  06:00:00,689.6935658088815,0.0,689.6935658088815,2482896.8369119735,0.0,0.0,0.0,252040.14051265028,2214976.900811513
 06/17  07:00:00,696.8235277671863,0.0,696.8235277671863,2508564.699961871,0.0,0.0,0.0,189950.47668411257,2303817.1410254803
 06/17  08:00:00,651.5913033318873,0.0,651.5913033318873,2345728.691994794,0.0,0.0,0.0,69806.62318693068,2262929.508781473
 06/17  09:00:00,750.6645449899634,0.0,750.6645449899634,2702392.361963868,0.0,0.0,0.0,295934.7717255276,2395630.456883015
 06/17  10:00:00,1115.8007222168349,0.0,1115.8007222168349,4016882.5999806058,0.0,0.0,0.0,287439.0366520675,3720781.8566442784
 06/17  11:00:00,1110.8151081396668,0.0,1110.8151081396668,3998934.3893028004,0.0,0.0,0.0,276111.389887454,3717048.5282925055
 06/17  12:00:00,757.4119821671818,0.0,757.4119821671818,2726683.1358018545,0.0,0.0,0.0,269031.6106595706,2453320.6718001533
 06/17  13:00:00,899.2161864294296,0.0,899.2161864294296,3237178.271145947,0.0,0.0,0.0,266199.6989684172,2967008.6232805764
 06/17  14:00:00,940.4607928738399,0.0,940.4607928738399,3385658.8543458227,0.0,0.0,0.0,266199.6989684172,3115489.206480453
 06/17  15:00:00,972.0652258200572,89.04066353525072,1061.105889355308,3819981.2016791087,63963.560770298405,256582.8279566042,0.0,266199.6989684172,3228904.2606416596
 06/17  16:00:00,1029.6822081825787,438.0799807246941,1467.762188907273,5283943.880066182,313594.05397724785,1263493.8766316508,0.0,267615.6548139939,3432383.1101849163
 06/17  17:00:00,4881.8438652395,696.049274437421,5577.893139676921,20080415.302836917,502358.3016288,2003419.0863459152,0.0,423724.78678882367,17137198.75915663
 06/17  18:00:00,5832.933160540509,773.8444670765801,6606.777627617089,23784399.459421523,567943.4431460078,2217896.638329681,0.0,343369.2925523466,20637866.67202496
 06/17  19:00:00,831.7134172571158,458.3564003818758,1290.0698176389915,4644251.34350037,344496.9878118177,1305586.0535629354,0.0,328501.7561737915,2644012.279241175
 06/17  20:00:00,870.2082570881922,146.56834162050023,1016.7765987086924,3660395.755351293,112613.12205847088,415032.90777532995,0.0,487088.8108783804,2615705.845689378
 06/17  21:00:00,1013.154904951533,0.0,1013.154904951533,3647357.657825519,0.0,0.0,0.0,931698.9463894602,2680290.0758086625
 06/17  22:00:00,892.5820704591825,0.0,892.5820704591825,3213295.453653057,0.0,0.0,0.0,761784.2449202577,2420834.3308927105
 06/17  23:00:00,683.6325530826321,0.0,683.6325530826321,2461077.1910974756,0.0,0.0,0.0,210977.4209909264,2228806.407841076
 06/17  24:00:00,648.9055614423662,0.0,648.9055614423662,2336060.0211925185,0.0,0.0,0.0,82939.61365465444,2236518.803059698
