occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
0.0,0.0492,0.0492,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.0,0.0492,0.0492,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.137,0,0
0.0,0.0492,0.0492,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.309,0,0
0.5,0.352,0.352,0.0,0.0,0.0,0.0,0.499,0.72,0.72,0.0,0.0,0.0791,0,0
0.5,0.352,0.352,0.0,0.0,0.0,0.0,0.499,0.72,0.72,0.0,0.0,0.151,0,0
0.5,0.352,0.352,0.0,0.0,0.0,0.0,0.499,0.72,0.72,0.0,0.0,0.0,0,0
0.5,0.352,0.352,0.0,0.0,0.0,0.0,0.499,0.72,0.72,0.0,0.0,0.0791,0,0
0.0,0.0492,0.0492,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.5,0.455,0.455,0.0,0.0,0.0,0.0,0.569,0.729,0.729,0.0,0.0,0.0,0,0
0.5,0.455,0.455,0.0,0.0,0.0,0.0,0.569,0.729,0.729,0.0,0.0,0.19,0,0
0.5,0.455,0.455,0.0,0.0,0.0,0.0,0.569,0.729,0.729,0.0,0.0,0.0,0,0
0.5,0.525,0.525,0.0,0.0,0.0,0.0,0.597,0.701,0.701,0.0,0.0,0.0791,0,0
0.5,0.525,0.525,0.0,0.0,0.0,0.0,0.597,0.701,0.701,0.0,0.0,0.132,0,0
1.0,1.0,1.0,0.4,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.165,0,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0,0,0
1.0,0.944,0.944,1.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.0,0,0
1.0,0.944,0.944,1.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.0,0,0
0.5,0.497,0.497,1.0,0.0,0.0,0.0,0.625,0.673,0.673,0.0,0.0,0.278,0,0
0.5,0.497,0.497,1.0,0.0,0.0,0.0,0.625,0.673,0.673,0.0,0.0,0.416,0,0
